		Time			Cycle	PC		Insn	Decoded instruction	Register and memory contents
          10000	         0	00000000	0000	c.unimp	
          30000	         0	00000000	0000	c.unimp	
          50000	         0	00000000	0000	c.unimp	
          70000	         0	00000000	0000	c.unimp	
          90000	         0	80000004	00000313	addi	x6,x0,0	  x0:0x00000000  x6=0x00000000
         110000	         0	80000008	00628263	beq	x5,x6,8000000c	  x5:0x00000000  x6:0x00000000
         130000	         0	00000000	0000	c.unimp	
         150000	         0	00000000	0000	c.unimp	
         170000	         0	8000000c	00000997	auipc	x19,0x0	 x19=0x8000000c
         190000	         0	80000010	00c98993	addi	x19,x19,12	 x19:0x8000000c x19=0x80000018
         210000	         0	80000014	00098067	jalr	x0,x19,0	 x19:0x80000018
         230000	         0	00000000	0000	c.unimp	
         250000	         0	00000000	0000	c.unimp	
         270000	         0	80000018	400004b7	lui	x9,0x40000	  x9=0x40000000
         290000	         0	8000001c	10048493	addi	x9,x9,256	  x9:0x40000000  x9=0x40000100
         310000	         0	80000020	30149073	csrrw	x0,misa,x9	  x9:0x40000100
         330000	         0	80000024	00019f17	auipc	x30,0x19	 x30=0x80019024
         350000	         0	80000028	cc0f0f13	addi	x30,x30,-832	 x30:0x80019024 x30=0x80018ce4
         370000	         0	8000002c	0000a497	auipc	x9,0xa	  x9=0x8000a02c
         390000	         0	80000030	d5048493	addi	x9,x9,-688	  x9:0x8000a02c  x9=0x80009d7c
         410000	         0	80000034	0004e493	ori	x9,x9,0	  x9:0x80009d7c  x9=0x80009d7c
         430000	         0	80000038	30549073	csrrw	x0,mtvec,x9	  x9:0x80009d7c
         450000	         0	8000003c	00000497	auipc	x9,0x0	  x9=0x8000003c
         470000	         0	80000040	02848493	addi	x9,x9,40	  x9:0x8000003c  x9=0x80000064
         490000	         0	80000044	34149073	csrrw	x0,mepc,x9	  x9:0x80000064
         510000	         0	80000048	00000013	addi	x0,x0,0	  x0:0x00000000
         530000	         0	8000004c	000024b7	lui	x9,0x2	  x9=0x00002000
         550000	         0	80000050	80048493	addi	x9,x9,-2048	  x9:0x00002000  x9=0x00001800
         570000	         0	80000054	30049073	csrrw	x0,mstatus,x9	  x9:0x00001800
         590000	         0	80000058	00000493	addi	x9,x0,0	  x0:0x00000000  x9=0x00000000
         610000	         0	8000005c	30449073	csrrw	x0,mie,x9	  x9:0x00000000
         630000	         0	80000060	30200073	mret	
         650000	         0	80000064	00000013	addi	x0,x0,0	  x0:0x00000000
         670000	         0	80000068	00000093	addi	x1,x0,0	  x0:0x00000000  x1=0x00000000
         690000	         0	8000006c	00000113	addi	x2,x0,0	  x0:0x00000000  x2=0x00000000
         710000	         0	80000070	800001b7	lui	x3,0x80000	  x3=0x80000000
         730000	         0	80000074	fd135237	lui	x4,0xfd135	  x4=0xfd135000
         750000	         0	80000078	c1820213	addi	x4,x4,-1000	  x4:0xfd135000  x4=0xfd134c18
         770000	         0	8000007c	f46ab2b7	lui	x5,0xf46ab	  x5=0xf46ab000
         790000	         0	80000080	4c128293	addi	x5,x5,1217	  x5:0xf46ab000  x5=0xf46ab4c1
         810000	         0	80000084	80000337	lui	x6,0x80000	  x6=0x80000000
         830000	         0	80000088	fde963b7	lui	x7,0xfde96	  x7=0xfde96000
         850000	         0	8000008c	0d938393	addi	x7,x7,217	  x7:0xfde96000  x7=0xfde960d9
         870000	         0	80000090	80000437	lui	x8,0x80000	  x8=0x80000000
         890000	         0	80000094	9c54c4b7	lui	x9,0x9c54c	  x9=0x9c54c000
         910000	         0	80000098	41648493	addi	x9,x9,1046	  x9:0x9c54c000  x9=0x9c54c416
         930000	         0	8000009c	b45be5b7	lui	x11,0xb45be	 x11=0xb45be000
         950000	         0	800000a0	49958593	addi	x11,x11,1177	 x11:0xb45be000 x11=0xb45be499
         970000	         0	800000a4	80000637	lui	x12,0x80000	 x12=0x80000000
         990000	         0	800000a8	fd69e6b7	lui	x13,0xfd69e	 x13=0xfd69e000
        1010000	         0	800000ac	65468693	addi	x13,x13,1620	 x13:0xfd69e000 x13=0xfd69e654
        1030000	         0	800000b0	00700713	addi	x14,x0,7	  x0:0x00000000 x14=0x00000007
        1050000	         0	800000b4	fa04e7b7	lui	x15,0xfa04e	 x15=0xfa04e000
        1070000	         0	800000b8	f3878793	addi	x15,x15,-200	 x15:0xfa04e000 x15=0xfa04df38
        1090000	         0	800000bc	80000837	lui	x16,0x80000	 x16=0x80000000
        1110000	         0	800000c0	24db98b7	lui	x17,0x24db9	 x17=0x24db9000
        1130000	         0	800000c4	a9f88893	addi	x17,x17,-1377	 x17:0x24db9000 x17=0x24db8a9f
        1150000	         0	800000c8	e7502937	lui	x18,0xe7502	 x18=0xe7502000
        1170000	         0	800000cc	13c90913	addi	x18,x18,316	 x18:0xe7502000 x18=0xe750213c
        1190000	         0	800000d0	00f00993	addi	x19,x0,15	  x0:0x00000000 x19=0x0000000f
        1210000	         0	800000d4	dfcaca37	lui	x20,0xdfcac	 x20=0xdfcac000
        1230000	         0	800000d8	6d2a0a13	addi	x20,x20,1746	 x20:0xdfcac000 x20=0xdfcac6d2
        1250000	         0	800000dc	ffe14ab7	lui	x21,0xffe14	 x21=0xffe14000
        1270000	         0	800000e0	9b2a8a93	addi	x21,x21,-1614	 x21:0xffe14000 x21=0xffe139b2
        1290000	         0	800000e4	00800b13	addi	x22,x0,8	  x0:0x00000000 x22=0x00000008
        1310000	         0	800000e8	00000b93	addi	x23,x0,0	  x0:0x00000000 x23=0x00000000
        1330000	         0	800000ec	d2e35c37	lui	x24,0xd2e35	 x24=0xd2e35000
        1350000	         0	800000f0	29dc0c13	addi	x24,x24,669	 x24:0xd2e35000 x24=0xd2e3529d
        1370000	         0	800000f4	00300c93	addi	x25,x0,3	  x0:0x00000000 x25=0x00000003
        1390000	         0	800000f8	80000d37	lui	x26,0x80000	 x26=0x80000000
        1410000	         0	800000fc	00900d93	addi	x27,x0,9	  x0:0x00000000 x27=0x00000009
        1430000	         0	80000100	80000e37	lui	x28,0x80000	 x28=0x80000000
        1450000	         0	80000104	dff5eeb7	lui	x29,0xdff5e	 x29=0xdff5e000
        1470000	         0	80000108	d81e8e93	addi	x29,x29,-639	 x29:0xdff5e000 x29=0xdff5dd81
        1490000	         0	8000010c	00000f93	addi	x31,x0,0	  x0:0x00000000 x31=0x00000000
        1510000	         0	80000110	00015517	auipc	x10,0x15	 x10=0x80015110
        1530000	         0	80000114	d5450513	addi	x10,x10,-684	 x10:0x80015110 x10=0x80014e64
        1550000	         0	80000118	41a300b3	sub	x1,x6,x26	  x6:0x80000000 x26:0x80000000  x1=0x00000000
        1570000	         0	8000011c	00ef9433	sll	x8,x31,x14	 x31:0x00000000 x14:0x00000007  x8=0x00000000
        1590000	         0	80000120	f2c2f713	andi	x14,x5,-212	  x5:0xf46ab4c1 x14=0xf46ab400
        1610000	         0	80000124	400bdc13	srai	x24,x23,0x0	 x23:0x00000000 x24=0x00000000
        1630000	         0	80000128	59b62893	slti	x17,x12,1435	 x12:0x80000000 x17=0x00000001
        1650000	         0	8000012c	fb6d6617	auipc	x12,0xfb6d6	 x12=0x7b6d612c
        1670000	         0	80000130	4d9b0c13	addi	x24,x22,1241	 x22:0x00000008 x24=0x000004e1
        1690000	         0	80000134	01ad1033	sll	x0,x26,x26	 x26:0x80000000 x26:0x80000000
        1710000	         0	80000138	01249793	slli	x15,x9,0x12	  x9:0x9c54c416 x15=0x10580000
        1730000	         0	8000013c	4f55cb13	xori	x22,x11,1269	 x11:0xb45be499 x22=0xb45be06c
        1750000	         0	80000140	000cda13	srli	x20,x25,0x0	 x25:0x00000003 x20=0x00000003
        1770000	         0	80000144	00e147b3	xor	x15,x2,x14	  x2:0x00000000 x14:0xf46ab400 x15=0xf46ab400
        1790000	         0	80000148	0184edb3	or	x27,x9,x24	  x9:0x9c54c416 x24:0x000004e1 x27=0x9c54c4f7
        1810000	         0	8000014c	40260833	sub	x16,x12,x2	 x12:0x7b6d612c  x2:0x00000000 x16=0x7b6d612c
        1830000	         0	80000150	01cc7ab3	and	x21,x24,x28	 x24:0x000004e1 x28:0x80000000 x21=0x00000000
        1850000	         0	80000154	00069493	slli	x9,x13,0x0	 x13:0xfd69e654  x9=0xfd69e654
        1870000	         0	80000158	10d0c793	xori	x15,x1,269	  x1:0x00000000 x15=0x0000010d
        1890000	         0	8000015c	008e8833	add	x16,x29,x8	 x29:0xdff5dd81  x8:0x00000000 x16=0xdff5dd81
        1910000	         0	80000160	40fc5c13	srai	x24,x24,0xf	 x24:0x000004e1 x24=0x00000000
        1930000	         0	80000164	01100633	add	x12,x0,x17	  x0:0x00000000 x17:0x00000001 x12=0x00000001
        1950000	         0	80000168	01c410b3	sll	x1,x8,x28	  x8:0x00000000 x28:0x80000000  x1=0x00000000
        1970000	         0	8000016c	40638033	sub	x0,x7,x6	  x7:0xfde960d9  x6:0x80000000
        1990000	         0	80000170	00101333	sll	x6,x0,x1	  x0:0x00000000  x1:0x00000000  x6=0x00000000
        2010000	         0	80000174	8adec893	xori	x17,x29,-1875	 x29:0xdff5dd81 x17=0x200a252c
        2030000	         0	80000178	7faa8f93	addi	x31,x21,2042	 x21:0x00000000 x31=0x000007fa
        2050000	         0	8000017c	0102d933	srl	x18,x5,x16	  x5:0xf46ab4c1 x16:0xdff5dd81 x18=0x7a355a60
        2070000	         0	80000180	587a7b13	andi	x22,x20,1415	 x20:0x00000003 x22=0x00000003
        2090000	         0	80000184	013c2b33	slt	x22,x24,x19	 x24:0x00000000 x19:0x0000000f x22=0x00000001
        2110000	         0	80000188	c5c28593	addi	x11,x5,-932	  x5:0xf46ab4c1 x11=0xf46ab11d
        2130000	         0	8000018c	00914333	xor	x6,x2,x9	  x2:0x00000000  x9:0xfd69e654  x6=0xfd69e654
        2150000	         0	80000190	010e1eb3	sll	x29,x28,x16	 x28:0x80000000 x16:0xdff5dd81 x29=0x00000000
        2170000	         0	80000194	00129113	slli	x2,x5,0x1	  x5:0xf46ab4c1  x2=0xe8d56982
        2190000	         0	80000198	4f0ebd93	sltiu	x27,x29,1264	 x29:0x00000000 x27=0x00000001
        2210000	         0	8000019c	008f9bb3	sll	x23,x31,x8	 x31:0x000007fa  x8:0x00000000 x23=0x000007fa
        2230000	         0	800001a0	44454b93	xori	x23,x10,1092	 x10:0x80014e64 x23=0x80014a20
        2250000	         0	800001a4	5a113f93	sltiu	x31,x2,1441	  x2:0xe8d56982 x31=0x00000000
        2270000	         0	800001a8	02b5c693	xori	x13,x11,43	 x11:0xf46ab11d x13=0xf46ab136
        2290000	         0	800001ac	749b7793	andi	x15,x22,1865	 x22:0x00000001 x15=0x00000001
        2310000	         0	800001b0	413a5493	srai	x9,x20,0x13	 x20:0x00000003  x9=0x00000000
        2330000	         0	800001b4	01337633	and	x12,x6,x19	  x6:0xfd69e654 x19:0x0000000f x12=0x00000004
        2350000	         0	800001b8	cf879217	auipc	x4,0xcf879	  x4=0x4f8791b8
        2370000	         0	800001bc	0063fcb3	and	x25,x7,x6	  x7:0xfde960d9  x6:0xfd69e654 x25=0xfd696050
        2390000	         0	800001c0	b4b91d37	lui	x26,0xb4b91	 x26=0xb4b91000
        2410000	         0	800001c4	00e5d5b3	srl	x11,x11,x14	 x11:0xf46ab11d x14:0xf46ab400 x11=0xf46ab11d
        2430000	         0	800001c8	016cdd33	srl	x26,x25,x22	 x25:0xfd696050 x22:0x00000001 x26=0x7eb4b028
        2450000	         0	800001cc	013b3233	sltu	x4,x22,x19	 x22:0x00000001 x19:0x0000000f  x4=0x00000001
        2470000	         0	800001d0	01a7f0b3	and	x1,x15,x26	 x15:0x00000001 x26:0x7eb4b028  x1=0x00000000
        2490000	         0	800001d4	76b75417	auipc	x8,0x76b75	  x8=0xf6b751d4
        2510000	         0	800001d8	41cb0bb3	sub	x23,x22,x28	 x22:0x00000001 x28:0x80000000 x23=0x80000001
        2530000	         0	800001dc	40efddb3	sra	x27,x31,x14	 x31:0x00000000 x14:0xf46ab400 x27=0x00000000
        2550000	         0	800001e0	40115db3	sra	x27,x2,x1	  x2:0xe8d56982  x1:0x00000000 x27=0xe8d56982
        2570000	         0	800001e4	00000013	addi	x0,x0,0	  x0:0x00000000
        2590000	         0	800001e8	404c5a13	srai	x20,x24,0x4	 x24:0x00000000 x20=0x00000000
        2610000	         0	800001ec	08c54593	xori	x11,x10,140	 x10:0x80014e64 x11=0x80014ee8
        2630000	         0	800001f0	b3bc7c37	lui	x24,0xb3bc7	 x24=0xb3bc7000
        2650000	         0	800001f4	0002a0b3	slt	x1,x5,x0	  x5:0xf46ab4c1  x0:0x00000000  x1=0x00000001
        2670000	         0	800001f8	00000013	addi	x0,x0,0	  x0:0x00000000
        2690000	         0	800001fc	004a3ab3	sltu	x21,x20,x4	 x20:0x00000000  x4:0x00000001 x21=0x00000001
        2710000	         0	80000200	8cea4213	xori	x4,x20,-1842	 x20:0x00000000  x4=0xfffff8ce
        2730000	         0	80000204	eac54c13	xori	x24,x10,-340	 x10:0x80014e64 x24=0x7ffeb0c8
        2750000	         0	80000208	d9bc0037	lui	x0,0xd9bc0	
        2770000	         0	8000020c	00f69d33	sll	x26,x13,x15	 x13:0xf46ab136 x15:0x00000001 x26=0xe8d5626c
        2790000	         0	80000210	3172cb93	xori	x23,x5,791	  x5:0xf46ab4c1 x23=0xf46ab7d6
        2810000	         0	80000214	1ee8c617	auipc	x12,0x1ee8c	 x12=0x9ee8c214
        2830000	         0	80000218	00be34b3	sltu	x9,x28,x11	 x28:0x80000000 x11:0x80014ee8  x9=0x00000001
        2850000	         0	8000021c	01d36733	or	x14,x6,x29	  x6:0xfd69e654 x29:0x00000000 x14=0xfd69e654
        2870000	         0	80000220	015c9113	slli	x2,x25,0x15	 x25:0xfd696050  x2=0x0a000000
        2890000	         0	80000224	dd3e7137	lui	x2,0xdd3e7	  x2=0xdd3e7000
        2910000	         0	80000228	01821a13	slli	x20,x4,0x18	  x4:0xfffff8ce x20=0xce000000
        2930000	         0	8000022c	4016da93	srai	x21,x13,0x1	 x13:0xf46ab136 x21=0xfa35589b
        2950000	         0	80000230	70f433b7	lui	x7,0x70f43	  x7=0x70f43000
        2970000	         0	80000234	01a01cb3	sll	x25,x0,x26	  x0:0x00000000 x26:0xe8d5626c x25=0x00000000
        2990000	         0	80000238	846e6693	ori	x13,x28,-1978	 x28:0x80000000 x13=0xfffff846
        3010000	         0	8000023c	408c5213	srai	x4,x24,0x8	 x24:0x7ffeb0c8  x4=0x007ffeb0
        3030000	         0	80000240	00000013	addi	x0,x0,0	  x0:0x00000000
        3050000	         0	80000244	047c2613	slti	x12,x24,71	 x24:0x7ffeb0c8 x12=0x00000000
        3070000	         0	80000248	212db313	sltiu	x6,x27,530	 x27:0xe8d56982  x6=0x00000000
        3090000	         0	8000024c	00039a33	sll	x20,x7,x0	  x7:0x70f43000  x0:0x00000000 x20=0x70f43000
        3110000	         0	80000250	00ae4a33	xor	x20,x28,x10	 x28:0x80000000 x10:0x80014e64 x20=0x00014e64
        3130000	         0	80000254	01b49cb3	sll	x25,x9,x27	  x9:0x00000001 x27:0xe8d56982 x25=0x00000004
        3150000	         0	80000258	e9966393	ori	x7,x12,-359	 x12:0x00000000  x7=0xfffffe99
        3170000	         0	8000025c	40a10a33	sub	x20,x2,x10	  x2:0xdd3e7000 x10:0x80014e64 x20=0x5d3d219c
        3190000	         0	80000260	01f518b3	sll	x17,x10,x31	 x10:0x80014e64 x31:0x00000000 x17=0x80014e64
        3210000	         0	80000264	00000013	addi	x0,x0,0	  x0:0x00000000
        3230000	         0	80000268	c6e5c793	xori	x15,x11,-914	 x11:0x80014ee8 x15=0x7ffeb286
        3250000	         0	8000026c	f32a74b7	lui	x9,0xf32a7	  x9=0xf32a7000
        3270000	         0	80000270	dc17e713	ori	x14,x15,-575	 x15:0x7ffeb286 x14=0xffffffc7
        3290000	         0	80000274	01c05d93	srli	x27,x0,0x1c	  x0:0x00000000 x27=0x00000000
        3310000	         0	80000278	4152dc33	sra	x24,x5,x21	  x5:0xf46ab4c1 x21:0xfa35589b x24=0xfffffffe
        3330000	         0	8000027c	e0bd2d93	slti	x27,x26,-501	 x26:0xe8d5626c x27=0x00000001
        3350000	         0	80000280	0010d7b3	srl	x15,x1,x1	  x1:0x00000001  x1:0x00000001 x15=0x00000000
        3370000	         0	80000284	018d8733	add	x14,x27,x24	 x27:0x00000001 x24:0xfffffffe x14=0xffffffff
        3390000	         0	80000288	010a6033	or	x0,x20,x16	 x20:0x5d3d219c x16:0xdff5dd81
        3410000	         0	8000028c	a1024413	xori	x8,x4,-1520	  x4:0x007ffeb0  x8=0xff8004a0
        3430000	         0	80000290	d6eaa613	slti	x12,x21,-658	 x21:0xfa35589b x12=0x00000001
        3450000	         0	80000294	46530397	auipc	x7,0x46530	  x7=0xc6530294
        3470000	         0	80000298	f40fb793	sltiu	x15,x31,-192	 x31:0x00000000 x15=0x00000001
        3490000	         0	8000029c	e97b6093	ori	x1,x22,-361	 x22:0x00000001  x1=0xfffffe97
        3510000	         0	800002a0	002cdeb3	srl	x29,x25,x2	 x25:0x00000004  x2:0xdd3e7000 x29=0x00000004
        3530000	         0	800002a4	966a8893	addi	x17,x21,-1690	 x21:0xfa35589b x17=0xfa355201
        3550000	         0	800002a8	90488e13	addi	x28,x17,-1788	 x17:0xfa355201 x28=0xfa354b05
        3570000	         0	800002ac	00000013	addi	x0,x0,0	  x0:0x00000000
        3590000	         0	800002b0	6f6d9a97	auipc	x21,0x6f6d9	 x21=0xef6d92b0
        3610000	         0	800002b4	012dd033	srl	x0,x27,x18	 x27:0x00000001 x18:0x7a355a60
        3630000	         0	800002b8	00645b33	srl	x22,x8,x6	  x8:0xff8004a0  x6:0x00000000 x22=0xff8004a0
        3650000	         0	800002bc	00f3e433	or	x8,x7,x15	  x7:0xc6530294 x15:0x00000001  x8=0xc6530295
        3670000	         0	800002c0	01f7ea33	or	x20,x15,x31	 x15:0x00000001 x31:0x00000000 x20=0x00000001
        3690000	         0	800002c4	01569893	slli	x17,x13,0x15	 x13:0xfffff846 x17=0x08c00000
        3710000	         0	800002c8	401c8eb3	sub	x29,x25,x1	 x25:0x00000004  x1:0xfffffe97 x29=0x0000016d
        3730000	         0	800002cc	00cd55b3	srl	x11,x26,x12	 x26:0xe8d5626c x12:0x00000001 x11=0x746ab136
        3750000	         0	800002d0	41288733	sub	x14,x17,x18	 x17:0x08c00000 x18:0x7a355a60 x14=0x8e8aa5a0
        3770000	         0	800002d4	403e81b3	sub	x3,x29,x3	 x29:0x0000016d  x3:0x80000000  x3=0x8000016d
        3790000	         0	800002d8	41d8d193	srai	x3,x17,0x1d	 x17:0x08c00000  x3=0x00000000
        3810000	         0	800002dc	01305cb3	srl	x25,x0,x19	  x0:0x00000000 x19:0x0000000f x25=0x00000000
        3830000	         0	800002e0	00afda93	srli	x21,x31,0xa	 x31:0x00000000 x21=0x00000000
        3850000	         0	800002e4	40885a13	srai	x20,x16,0x8	 x16:0xdff5dd81 x20=0xffdff5dd
        3870000	         0	800002e8	00b1c5b3	xor	x11,x3,x11	  x3:0x00000000 x11:0x746ab136 x11=0x746ab136
        3890000	         0	800002ec	00000013	addi	x0,x0,0	  x0:0x00000000
        3910000	         0	800002f0	00000013	addi	x0,x0,0	  x0:0x00000000
        3930000	         0	800002f4	01986e33	or	x28,x16,x25	 x16:0xdff5dd81 x25:0x00000000 x28=0xdff5dd81
        3950000	         0	800002f8	5b820617	auipc	x12,0x5b820	 x12=0xdb8202f8
        3970000	         0	800002fc	41ce86b3	sub	x13,x29,x28	 x29:0x0000016d x28:0xdff5dd81 x13=0x200a23ec
        3990000	         0	80000300	ec33fb93	andi	x23,x7,-317	  x7:0xc6530294 x23=0xc6530280
        4010000	         0	80000304	85053b13	sltiu	x22,x10,-1968	 x10:0x80014e64 x22=0x00000001
